codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,sector,area,modalidad,jornada,plan,departamental,establecimiento_norm,direccion_norm,telefono_norm
16-03-0245-46,16-008,Alta Verapaz,san cristobal verapaz,liceo de ciencias aplicadas dr carlos aldana mendoza,4a. av entre 0 y 1 calle z 4 barrio san felipe,31479184,emiilio rubén caál gualib,juan gabriel cal surám,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz,de ciencias aplicadas dr carlos aldana mendoza,4a. av entre 0 y 1 calle z 4 barrio san felipe,31479184
16-03-0266-46,16-050,Alta Verapaz,san cristobal verapaz,centro de educacion extraescolar ceex,caserio chilley,45552665,maximiliano chub ical,henry manuel hidalgo sacbá,oficial,rural,bilingue,doble,diario(regular),alta verapaz,de educacion extraescolar ceex,caserio chilley,45552665
16-03-1388-46,16-008,Alta Verapaz,san cristobal verapaz,colegio meson,8a. av 6-00 z 1,7950402779504028,emiilio rubén caál gualib,luis emilio solares marroquin,privado,urbana,monolingue,matutina,diario(regular),alta verapaz,meson,8a. av 6-00 z 1,
16-04-0062-46,16-009,Alta Verapaz,tactic,instituto nacional de educacion diversificada,canton chijacorral,47218807,ruben dario caal cú,dorcas sofia alvarez marin,oficial,urbana,monolingue,matutina,diario(regular),alta verapaz,nacional de educacion diversificada,canton chijacorral,47218807
16-04-0064-46,16-009,Alta Verapaz,tactic,colegio nuestra senora de la asuncion,0 calle c 4-29 z 4 barrio chamche,79529368,ruben dario caal cú,maría angélica castillo martinez,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz,nuestra senora de la asuncion,0 calle c 4-29 z 4 barrio chamche,79529368
16-04-0068-46,16-009,Alta Verapaz,tactic,colegio cristiano particular mixto vida,1a. av 6-73 z 7 canton chijacorral,79529275,ruben dario caal cú,evelin marisol donis bin,privado,urbana,monolingue,doble,diario(regular),alta verapaz,cristiano particular mixto vida,1a. av 6-73 z 7 canton chijacorral,79529275
16-04-0072-46,16-009,Alta Verapaz,tactic,colegio privado mixto la ensenanza,12 av. a 4-30 z 3 barrio asuncion,79539069,ruben dario caal cú,claudia siomara flores lópez,privado,urbana,monolingue,doble,fin de semana,alta verapaz,privado mixto la ensenanza,12 av. a 4-30 z 3 barrio asuncion,79539069
16-04-0122-46,16-009,Alta Verapaz,tactic,colegio privado mixto la ensenanza,12a. av a 4-30 z 2 barrio asuncion,79539069,ruben dario caal cú,claudia siomara flores lópez,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz,privado mixto la ensenanza,12a. av a 4-30 z 2 barrio asuncion,79539069
16-04-2308-46,16-009,Alta Verapaz,tactic,instituto akaltic,o calle b oc-150 z 4.,79539043,ruben dario caal cú,ana eliza peláez ponce,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz,akaltic,o calle b oc-150 z 4.,79539043
16-04-8321-46,16-009,Alta Verapaz,tactic,instituto akaltic,0 calle b oc 150 z 4 de la villa de tactic,79539043,ruben dario caal cú,ana eliza peláez ponce,privado,urbana,monolingue,doble,fin de semana,alta verapaz,akaltic,0 calle b oc 150 z 4 de la villa de tactic,79539043
16-04-8322-46,16-009,Alta Verapaz,tactic,colegio privado mixto la ensenanza,12 av. 4-30 z 3,79539069,ruben dario caal cú,mayra magdalena yat chon,privado,rural,monolingue,vespertina,diario(regular),alta verapaz,privado mixto la ensenanza,12 av. 4-30 z 3,79539069
16-04-9906-46,16-009,Alta Verapaz,tactic,colegio privado mixto la ensenanza,12 av. a 4-30 z 3,79539069,ruben dario caal cú,mayra magdalena yat chon,privado,urbana,monolingue,doble,diario(regular),alta verapaz,privado mixto la ensenanza,12 av. a 4-30 z 3,79539069
16-05-0017-46,16-010,Alta Verapaz,tamahu,instituto nacional de educacion diversificada,tamahu,58034583,olga marina buc,carmelina icó morán,oficial,urbana,monolingue,vespertina,diario(regular),alta verapaz,nacional de educacion diversificada,tamahu,58034583
16-05-0057-46,16-010,Alta Verapaz,tamahu,centro de educacion extraescolar ceex,barrio el centro tamahu,46262436,olga marina buc,lesbia patricia silvestre lópez,oficial,urbana,monolingue,doble,semipresencial,alta verapaz,de educacion extraescolar ceex,barrio el  tamahu,46262436
16-05-9091-46,16-010,Alta Verapaz,tamahu,instituto mixto municipal de magisterio bilingue,barrio centro,36094074,olga marina buc,nancy nohemi velásquez morales,municipal,urbana,bilingue,vespertina,diario(regular),alta verapaz,mixto municipal de magisterio bilingue,barrio,36094074
16-06-0090-46,16-011,Alta Verapaz,san miguel tucuru,instituto nacional de educacion diversificada,barrio el centro,40232213,ingrid amanda camó tobar de castro,oscar román xoc có,oficial,urbana,bilingue,vespertina,diario(regular),alta verapaz,nacional de educacion diversificada,barrio el,40232213
16-06-0103-46,16-046,Alta Verapaz,san miguel tucuru,centro de formacion academica tecnologica y ocupacional jack  marie eiting,lote no. 42 caserio nueva esperanza,30647842,enrique horacio molina muñoz,zaida elisa bol macz,privado,rural,monolingue,matutina,diario(regular),alta verapaz,de formacion academica tecnologica y ocupacional jack marie eiting,lote no. 42 caserio nueva esperanza,30647842
16-06-0143-46,16-050,Alta Verapaz,san miguel tucuru,centro de educacion extraescolar ceex,caserio nueva esperanza,50437041,maximiliano chub ical,miriam patricia max toc,oficial,rural,bilingue,doble,diario(regular),alta verapaz,de educacion extraescolar ceex,caserio nueva esperanza,50437041
16-06-2398-46,16-011,Alta Verapaz,san miguel tucuru,instituto privado mixto de magisterio bilingue tukur,canton la playa,FORMATO_INV,ingrid amanda camó tobar de castro,miguel fernando tut lemus,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz,privado mixto de magisterio bilingue tukur,canton la playa,
16-07-0117-46,16-012,Alta Verapaz,panzos,instituto nacional de educacion diversificada,barrio san juan,57036563,maria elena palma molina,hector maquim caal,oficial,rural,monolingue,vespertina,diario(regular),alta verapaz,nacional de educacion diversificada,barrio san juan,57036563
16-07-0181-46,16-036,Alta Verapaz,panzos,colegio mixto mesoamericano,barrio el centro aldea teleman,48067726,jose luis xi cucul,aristides efren lópez gómez,privado,rural,monolingue,vespertina,diario(regular),alta verapaz,mixto mesoamericano,barrio el  aldea teleman,48067726
16-07-0197-46,16-036,Alta Verapaz,panzos,colegio mixto valle del polochic,instalaciones que ocupa el instituto de educacion basica por cooperativa de ensenanza aldea teleman,30498487,jose luis xi cucul,joel esteban zepeda caal,privado,rural,bilingue,doble,fin de semana,alta verapaz,mixto valle del polochic,instalaciones que ocupa el  de educacion basica por cooperativa de ensenanza aldea teleman,30498487
16-07-0211-46,16-050,Alta Verapaz,panzos,centro de educacion extraescolar ceex,barrio la escuela teleman,32945952,maximiliano chub ical,augusto xol xol,privado,rural,bilingue,doble,semipresencial,alta verapaz,de educacion extraescolar ceex,barrio la  teleman,32945952
16-07-0214-46,16-036,Alta Verapaz,panzos,colegio mixto valle del polochic,instalaciones del instituto de educacion basica por cooperativa de ensenanza aldea teleman,30498487,jose luis xi cucul,joel esteban zepeda caal,privado,rural,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz,mixto valle del polochic,instalaciones del  de educacion basica por cooperativa de ensenanza aldea teleman,30498487
16-07-0221-46,16-012,Alta Verapaz,panzos,liceo tecnologico cahaboncito litec,aldea cahaboncito,37311196,maria elena palma molina,aristides efren lópez gómez,privado,rural,monolingue,doble,fin de semana,alta verapaz,tecnologico cahaboncito litec,aldea cahaboncito,37311196
16-07-0255-46,16-055,Alta Verapaz,panzos,instituto nacional de educacion diversificada,aldea teleman,49124463,maria elena palma molina,silvia leticia xol choc,oficial,urbana,bilingue,vespertina,diario(regular),alta verapaz,nacional de educacion diversificada,aldea teleman,49124463
16-07-9103-46,16-036,Alta Verapaz,panzos,centro educativo san martin de porres,aldea teleman,32073601,jose luis xi cucul,estéfana tix yac,privado,rural,bilingue,vespertina,diario(regular),alta verapaz,educativo san martin de porres,aldea teleman,32073601
16-07-9639-46,16-012,Alta Verapaz,panzos,instituto privado mixto primaria bilingue aj kutunel,barrio el mau,50673199,maria elena palma molina,josé daniel buenafé caal,privado,urbana,bilingue,vespertina,diario(regular),alta verapaz,privado mixto primaria bilingue aj kutunel,barrio el mau,50673199
16-08-0183-46,16-013,Alta Verapaz,senahu,centro educativo san mateo,barrio san antonio,30895016,oscar guillermo anibal garcía humblers,celia emperatriz buenafé cuz,privado,urbana,monolingue,matutina,diario(regular),alta verapaz,educativo san mateo,barrio san antonio,30895016
16-08-0199-46,16-041,Alta Verapaz,senahu,instituto nacional de educacion diversificada,comunidad la montanesa,79510080,abner david chiqun turcios,maynor esau tzi ical,oficial,rural,bilingue,vespertina,diario(regular),alta verapaz,nacional de educacion diversificada,comunidad la montanesa,79510080
16-08-0204-46,16-042,Alta Verapaz,senahu,instituto nacional de educacion diversificada,cooperativa chireaj,58061143,jorge erwin cucul quib,david choc chub,oficial,rural,bilingue,vespertina,diario(regular),alta verapaz,nacional de educacion diversificada,cooperativa chireaj,58061143
16-08-0205-46,16-040,Alta Verapaz,senahu,instituto nacional de educacion diversificada,cooperativa santa maria san marcos,53800001,dullier clemente bol bac,alvaro waldemar pop sacrab,oficial,rural,bilingue,vespertina,diario(regular),alta verapaz,nacional de educacion diversificada,cooperativa santa maria san marcos,53800001
16-08-0206-46,16-040,Alta Verapaz,senahu,instituto nacional de educacion diversificada,cooperativa actela,33000059,dullier clemente bol bac,lázaro jonatan caál quib,oficial,rural,bilingue,vespertina,diario(regular),alta verapaz,nacional de educacion diversificada,cooperativa actela,33000059
16-08-0207-46,16-042,Alta Verapaz,senahu,instituto nacional de educacion diversificada,aldea yalijux,51589262,jorge erwin cucul quib,ricardo antonio caal caal,oficial,rural,bilingue,vespertina,diario(regular),alta verapaz,nacional de educacion diversificada,aldea yalijux,51589262
16-08-0208-46,16-013,Alta Verapaz,senahu,instituto nacional de educacion diversificada,barrio el centro,48939361,oscar guillermo anibal garcía humblers,denny estuardo buechsel ross,oficial,urbana,bilingue,vespertina,diario(regular),alta verapaz,nacional de educacion diversificada,barrio el,48939361
