16-01-1174-46,16-031,alta verapaz,coban,instituto privado raul chenal heinemann,5a. calle 1-06 zona 3,79510413,patricio najarro asencio,silvia beatriz soto chén,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-01-1175-46,16-031,alta verapaz,coban,instituto privado raul chenal heinemann,5ta. calle 1-06 zona 3,79520414,patricio najarro asencio,silvia beatriz soto chén,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-01-1394-46,16-031,alta verapaz,coban,instituto privado mixto monja blanca,"diagonal 3, 14-11 zona 2",79513896,patricio najarro asencio,edwin armando catún caal,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-01-1469-46,16-031,alta verapaz,coban,colegio privado mixto tecnologico en informatica,2a. calle 12-23 zona 4,79511459,patricio najarro asencio,daniel bernardo ramirez gonzález,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-01-2156-46,16-031,alta verapaz,coban,colegio particular mixto imperial,5a. calle 1-98 zona 3,57101061,patricio najarro asencio,farewell luther osorio,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-01-3041-46,16-005,alta verapaz,coban,instituto de bachillerato ads. al instituto normal mixto del norte emilio rosales ponce,3avenida 6-23 zona 11,79521468,nora liliana figueroa hernández,victor hugo domínguez reyes,oficial,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-01-6190-46,16-031,alta verapaz,coban,liceo miguel angel asturias,7a. calle 1-13 zona 3,79511103,patricio najarro asencio,jayron ariel coy cacao,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-01-6191-46,16-031,alta verapaz,coban,colegio privado mixto tecnológico en informatica,2a. calle 12-23 zona 4,79511459,patricio najarro asencio,jorge salvador juárez sierra,privado,urbana,monolingue,matutina,diario(regular),alta verapaz
16-01-8294-46,16-031,alta verapaz,coban,liceo preuniversitario del norte,3a. avenida 8-32 barrio la libertad zona 10,49745753,patricio najarro asencio,oscar alfredo molina cú,privado,urbana,monolingue,doble,diario(regular),alta verapaz
16-01-8331-46,16-031,alta verapaz,coban,liceo preuniversitario del norte,3a. avenida 8-32 barrio la libertad zona 10,49745753,patricio najarro asencio,zoila imena lópez rodas,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-01-8335-46,16-031,alta verapaz,coban,colegio de informatica ceninfav,12 av. 2-12 zona 1,79545566,patricio najarro asencio,maria magdalena bol cu,privado,rural,monolingue,matutina,diario(regular),alta verapaz
16-01-9067-46,16-005,alta verapaz,coban,escuela normal de educacion fisica,calzada rabin ajau zona 11,79523686,nora liliana figueroa hernández,berta maria mendez rodriguez,oficial,urbana,monolingue,doble,diario(regular),alta verapaz
16-01-9095-46,16-031,alta verapaz,coban,colegio privado mixto tecnologico en informatica,2a. calle 12-23 zona 4,79511459,patricio najarro asencio,daniel bernardo ramirez gonzález,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-01-9102-46,16-031,alta verapaz,coban,colegio mixto evangelico nazareno,6a. calle 8-10 zona 10 cerrito el caracol cobán,79511866,patricio najarro asencio,ana maria yat coy,privado,urbana,monolingue,matutina,diario(regular),alta verapaz
16-01-9544-46,16-031,alta verapaz,coban,colegio bilingue de infantes,3a. calle 7-07 zona 3,33836377,patricio najarro asencio,nancy johana hengstenberg delgado,privado,urbana,monolingue,matutina,diario(regular),alta verapaz
16-01-9851-46,16-031,alta verapaz,coban,colegio de informatica ceninfav,12av. 2-12 zona 1,79521765,patricio najarro asencio,héctor vidal bol cú,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-01-9897-46,16-031,alta verapaz,coban,colegio particular mixto verapaz,km.209.5 entrada a coban,77367402,patricio najarro asencio,jorge edy gutierrez ponce,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-01-9958-46,16-031,alta verapaz,coban,liceo dr. ricardo bressani,1a. avenida 5-52 zona 2,79521920,patricio najarro asencio,belsy claribel santisteban archila,privado,urbana,monolingue,doble,diario(regular),alta verapaz
16-02-0013-46,16-006,alta verapaz,santa cruz verapaz,instituto nacional de educacion diversificada,barrio santa elena,57767683,jorge eduardo paque lázaro,erik roberto cú pop,oficial,rural,monolingue,vespertina,diario(regular),alta verapaz
16-02-0020-46,16-006,alta verapaz,santa cruz verapaz,liceo santa cruz,"calle 3 de mayo 2-67 zona 2, barrio santo tomas",50161328,jorge eduardo paque lázaro,augusto alexander rax rodríguez,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-02-0055-46,16-006,alta verapaz,santa cruz verapaz,liceo santa cruz,"calle 3 de mayo 2-67, barrio santo tomas",42035694,jorge eduardo paque lázaro,augusto alexander rax rodríguez,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-03-0036-46,16-053,alta verapaz,san cristobal verapaz,instituto nacional de educacion diversificada,barrio chiyuc,SIN_TELEFONO,leonardo oxom chen,edy rolando jom coy,oficial,rural,monolingue,vespertina,diario(regular),alta verapaz
16-03-0047-46,16-008,alta verapaz,san cristobal verapaz,liceo san cristobal,"5a. calle 4-18 zona 1, barrio santa ana, san cristóbal verapaz",79504134,emiilio rubén caál gualib,otto erik morán chiquín,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-03-0056-46,16-008,alta verapaz,san cristobal verapaz,instituto tecnologico vocacional marco tulio de la cruz morales,"2a. calle zona 4, barrio san felipe",79504929,emiilio rubén caál gualib,rigoberto higinio suram jom,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-03-0077-46,16-008,alta verapaz,san cristobal verapaz,colegio mixto ciencias tecnológicas,3a. calle 0-43 zona 3 barrio san sebastian,32386711,emiilio rubén caál gualib,massena oswaldo sagastume portocarrero,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-03-0087-46,16-008,alta verapaz,san cristobal verapaz,instituto nacional de educacion diversificada con orientacion en artes y oficios,caserío pantocan,55288589,emiilio rubén caál gualib,joel david lem surám,oficial,rural,bilingue,matutina,diario(regular),alta verapaz
16-03-0092-46,16-008,alta verapaz,san cristobal verapaz,liceo de ciencias aplicadas dr. carlos aldana mendoza,"4ª. avenida, entre o y 1 calle zona 4, barrio san felipe",31479184,emiilio rubén caál gualib,juan gabriel cal surám,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-03-0093-46,16-008,alta verapaz,san cristobal verapaz,"instituto tecnologico vocacional ""marco tulio de la cruz morales""","2a. calle 4-45 zona 4, barrio san felipe",79504929,emiilio rubén caál gualib,rigoberto higinio suram jom,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-03-0095-46,16-008,alta verapaz,san cristobal verapaz,colegio mixto la pupila del cielo,"4a. calle a 2-17, enclavado zona 2, colonia paná",33801345,emiilio rubén caál gualib,mario rene cal sun,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-03-0097-46,16-008,alta verapaz,san cristobal verapaz,colegio mixto ciencias tecnológicas,3a. calle 0-43 zona 3 barrio san sebastian,77923223,emiilio rubén caál gualib,massena oswaldo sagastume portocarrero,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-03-0104-46,16-008,alta verapaz,san cristobal verapaz,liceo de ciencias aplicadas dr. carlos aldana mendoza,"4ª. avenida, entre o y 1 calle zona 4, barrio san felipe",79504090,emiilio rubén caál gualib,delmy damariz choc lópez,privado,urbana,monolingue,matutina,fin de semana,alta verapaz
16-03-0105-46,16-008,alta verapaz,san cristobal verapaz,liceo de ciencias aplicadas dr. carlos aldana mendoza,"4ª. avenida, entre o y 1 calle zona 4, barrio san felipe",31479184,emiilio rubén caál gualib,juan gabriel cal surám,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-03-0106-46,16-008,alta verapaz,san cristobal verapaz,liceo de ciencias aplicadas dr. carlos aldana mendoza,"4ª. avenida, entre o y 1 calle zona 4, barrio san felipe",79504090,emiilio rubén caál gualib,juan gabriel cal surám,privado,urbana,monolingue,doble,diario(regular),alta verapaz
16-03-0110-46,16-008,alta verapaz,san cristobal verapaz,liceo galileo galilei,"2a. calle, 2a. avenida zona 3, barrio san sebastian",79504337,emiilio rubén caál gualib,maria angelica gomez chavez,privado,urbana,monolingue,doble,diario(regular),alta verapaz
16-03-0139-46,16-008,alta verapaz,san cristobal verapaz,"instituto tecnológico vocacional ""marco tulio de la cruz morales""","2a. calle 4-45 zona 4, barrio san felipe",79504929,emiilio rubén caál gualib,rigoberto higinio suram jom,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-03-0158-46,16-050,alta verapaz,san cristobal verapaz,centro de educación extraescolar -ceex-,colonia pantocán,46280307,maximiliano chub ical,sara floridalma cú tiul,privado,rural,bilingue,doble,semipresencial,alta verapaz
16-03-0243-46,16-008,alta verapaz,san cristobal verapaz,colegio mixto ciencias tecnologicas,"3a. calle 0-43 zona 3, barrio san sebastian",41705134,emiilio rubén caál gualib,massena oswaldo sagastume portocarrero,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-03-0245-46,16-008,alta verapaz,san cristobal verapaz,liceo de ciencias aplicadas dr. carlos aldana mendoza,"4a. avenida, entre 0 y 1 calle zona 4, barrio san felipe",31479184,emiilio rubén caál gualib,juan gabriel cal surám,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-03-0247-46,16-008,alta verapaz,san cristobal verapaz,liceo galileo galilei,"2a. calle 2a. avenida zona 3, barrio san sebastian",45160622,emiilio rubén caál gualib,maria angelica gomez chavez,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-03-0259-46,16-008,alta verapaz,san cristobal verapaz,instituto tecnológico vocacional marco tulio de la cruz morales,"2a. calle 4-45 zona 4, barrio san felipe",79504929,emiilio rubén caál gualib,rigoberto higinio suram jom,privado,urbana,monolingue,matutina,diario(regular),alta verapaz
16-03-0262-46,16-008,alta verapaz,san cristobal verapaz,colegio mixto la pupila del cielo,"4a. calle a 2-17, enclavado zona 2, colonia paná",33801345,emiilio rubén caál gualib,mario rene cal sun,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-03-0263-46,16-008,alta verapaz,san cristobal verapaz,colegio mixto la pupila del cielo,"4a. calle a 2-17, enclavado zona 2, colonia paná",33801345,emiilio rubén caál gualib,mario rene cal sun,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-03-0265-46,16-008,alta verapaz,san cristobal verapaz,liceo san cristóbal,"5a. calle 4-18 zona 1, barrio santa ana",57332422,emiilio rubén caál gualib,otto erik morán chiquín,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-03-0266-46,16-050,alta verapaz,san cristobal verapaz,centro de educación extraescolar -ceex-,caserío chilley,45552665,maximiliano chub ical,henry manuel hidalgo sacbá,oficial,rural,bilingue,doble,diario(regular),alta verapaz
16-03-0270-46,16-008,alta verapaz,san cristobal verapaz,colegio de formación técnico-profesional nexus,"0 avenida 1-71 zona 5, san cristobal verapaz",35883366,emiilio rubén caál gualib,maría josé bejarano yaggi,privado,urbana,monolingue,matutina,diario(regular),alta verapaz
16-03-0271-46,16-008,alta verapaz,san cristobal verapaz,colegio de formación técnico-profesional nexus,"0 avenida 1-71 zona 5, san cristobal verapaz",35883366,emiilio rubén caál gualib,maría josé bejarano yaggi,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-03-0272-46,16-008,alta verapaz,san cristobal verapaz,colegio de formación técnico-profesional nexus,"0 avenida 1-71 zona 5, san cristobal verapaz",35883366,emiilio rubén caál gualib,maría josé bejarano yaggi,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-03-0275-46,16-008,alta verapaz,san cristobal verapaz,colegio de formación técnico-profesional nexus,"0 avenida 1-71 zona 5, san cristobal verapaz",35883366,emiilio rubén caál gualib,maría josé bejarano yaggi,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-03-1388-46,16-008,alta verapaz,san cristobal verapaz,colegio 'meson',8a. avenida 6-00 zona 1,79504027-79504028,emiilio rubén caál gualib,luis emilio solares marroquin,privado,urbana,monolingue,matutina,diario(regular),alta verapaz
16-03-1429-46,16-008,alta verapaz,san cristobal verapaz,liceo galileo galilei,"2a. calle, 2a. avenida zona 3, barrio san sebastian",79504337,emiilio rubén caál gualib,ana sofia lima aceituno,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-03-1520-46,16-008,alta verapaz,san cristobal verapaz,liceo galileo galilei,"2a. calle, 2a. avenida zona 3, barrio san sebastian",45160662,emiilio rubén caál gualib,maria angelica gomez chavez,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-03-9884-46,16-008,alta verapaz,san cristobal verapaz,liceo san cristobal,"5a. calle 4-18 zona 1, barrio santa ana",79504134,emiilio rubén caál gualib,cristóbal morán mo,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-03-9885-46,16-008,alta verapaz,san cristobal verapaz,liceo san cristobal,"5a. calle 4-18 zona 1, barrio santa ana",79504134,emiilio rubén caál gualib,cristóbal morán mo,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-04-0046-46,16-009,alta verapaz,tactic,colegio particular mixto blaise pascal,"4a. calle 09-103, zona 1",79539955,ruben dario caal cú,rolando macz bac,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-04-0050-46,16-009,alta verapaz,tactic,instituto akaltic,"0 calle b oc-150, zona 4",79539043,ruben dario caal cú,ana eliza peláez ponce,privado,urbana,monolingue,matutina,diario(regular),alta verapaz
16-04-0062-46,16-009,alta verapaz,tactic,instituto nacional de educacion diversificada,canton chijacorral,47218807,ruben dario caal cú,dorcas sofia alvarez marin,oficial,urbana,monolingue,matutina,diario(regular),alta verapaz
