establecimiento_canon,direccion_norm,municipio,departamento,codigo,distrito,sector,area,supervisor,director,telefono_norm,modalidad,jornada,plan,departamental
antigua,calle del hermano pedro final primavera entrada de santa ana no. 29 aldea santa ana,antigua guatemala,Sacatepequez,['03-01-0210-46'],03-002,privado,rural,zoila esthela jonfe orozco,josé salomón rodríguez rogel,['78326275'],['monolingue'],['matutina'],['diario(regular)'],sacatepéquez
antigua,calle del portal lote 11,antigua guatemala,Sacatepequez,"['03-01-0203-46', '03-01-0280-46']",03-002,privado,urbana,zoila esthela jonfe orozco,claudia maría lópez larios,['78323445'],['monolingue'],['matutina'],['diario(regular)'],sacatepéquez
antigua,colonia san francisco no. 10,antigua guatemala,Sacatepequez,['03-01-0947-46'],03-002,privado,rural,zoila esthela jonfe orozco,josé salomón rodríguez rogel,['78326275'],['monolingue'],['matutina'],['diario(regular)'],sacatepéquez
antigua,hacienda finca carmona aldea san juan del obispo,antigua guatemala,Sacatepequez,['03-01-0194-46'],03-016,privado,rural,oscar oswaldo son camez,marvin eduardo gonzález carcuz,['42176394'],['monolingue'],['doble'],['fin de semana'],sacatepéquez
antigua international school,kilometro 74.8 ruta nacional 14,ciudad vieja,Sacatepequez,['03-12-0054-46'],03-007,privado,urbana,marlis berzabe reyes reyes,orlando ruben sicajol toledo,['77409403'],['monolingue'],['matutina'],['diario(regular)'],sacatepéquez
antigueno,3a. calle oriente no.11,antigua guatemala,Sacatepequez,"[""['03-01-0056-46', '03-01-1387-46']""]","['03-002', '03-002']","['privado', 'privado']","['urbana', 'urbana']","['zoila esthela jonfe orozco', 'zoila esthela jonfe orozco']","['josué nathán solórzano berdúo', 'josué nathán solórzano berdúo']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'vespertina']""]","[""['diario(regular)', 'diario(regular)']""]",sacatepéquez
antigueno,barrio san luquitas no. 29,antigua guatemala,Sacatepequez,"[""['03-01-0182-46', '03-01-0192-46', '03-01-0251-46']""]","['03-002', '03-002', '03-002']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['zoila esthela jonfe orozco', 'zoila esthela jonfe orozco', 'zoila esthela jonfe orozco']","['claudia mirella lopez hurtarte', 'claudia mirella lopez hurtarte', 'claudia mirella lopez hurtarte']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'doble', 'sin jornada']""]","[""['diario(regular)', 'fin de semana', 'semipresencial (fin de semana)']""]",sacatepéquez
aplicado en computacion de amatitlan,5a. av 6-86,amatitlan,Guatemala,['01-14-0185-46'],01-641,privado,urbana,milton alonso alvarez fuentes,sergio de los ríos domínguez,['66764347'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],guatemala sur
aplicado en computacion de amatitlan,5a. av. 6-86,amatitlan,Guatemala,['01-14-7854-46'],01-201,privado,urbana,gladys jhoana salguero carballo,sergio de los ríos domínguez,['66334588'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
aplicado en computacion de amatitlan,5ta. av 6-86,amatitlan,Guatemala,['01-14-0078-46'],01-201,privado,urbana,gladys jhoana salguero carballo,sergio de los ríos domínguez,['66334588'],['monolingue'],['doble'],['fin de semana'],guatemala sur
aprendiendo a crecer,lote 50 jardines de san lucas 2,san lucas sacatepequez,Sacatepequez,['03-08-0046-46'],03-005,privado,urbana,rosalbina sisimit peren de socop,monica maribel hernandez vielman,['78304832'],['monolingue'],['matutina'],['diario(regular)'],sacatepéquez
arabe guatemalteco,5ta. calle 1-97 z 10 colonia lomas de san jacinto,mixco,Guatemala,['01-08-0150-46'],01-608,privado,urbana,edgar alberto simon chali,hector francisco urías acú,['41118611'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
asociacion de maestros de educacion rural de guatemala,2a. calle 6-35 z 6,santa cruz barillas,Huehuetenango,['13-26-0236-46'],13-043,privado,urbana,aracely figueroa urbina,alberto efraín ramón diego,['30429444'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],huehuetenango
asociacion de maestros de educacion rural de guatemala,2a. calle 6-35 z 6 cabecera municipal,santa cruz barillas,Huehuetenango,['13-26-0220-46'],13-043,privado,urbana,aracely figueroa urbina,alberto efraín ramón diego,['30429444'],['bilingue'],['vespertina'],['diario(regular)'],huehuetenango
asociacion de maestros de educacion rural de guatemala amerg,cabecera municipal santa eulalia,santa eulalia,Huehuetenango,['13-17-0080-46'],13-030,privado,urbana,juan carlos morales gonzalez,demostenes mateo sebastian martin,['31207507'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],huehuetenango
atescatempa,2a. av 3-19 z 1,atescatempa,Jutiapa,['22-07-2198-46'],22-020,privado,urbana,marcelina martinez guevara de hernandez,sin_director,[],['monolingue'],['matutina'],['diario(regular)'],jutiapa
austriaco guatemalteco,boulevard austriaco 23-90,zona 16,Guatemala,['00-16-0999-46'],01-508,privado,urbana,manuel maria cano castro,carmen aida hernández mendía de garcía,['23091900'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
ayutleco,5ta. av 01-010 z 1 ciudad tecun uman,ayutla,San Marcos,"[""['12-17-0023-46', '12-17-0024-46']""]","['12-080', '12-080']","['privado', 'privado']","['urbana', 'urbana']","['ramiro armando ochoa maldonado', 'ramiro armando ochoa maldonado']","['oscar romeo gonzáles mendoza', 'oscar romeo gonzáles mendoza']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'vespertina']""]","[""['diario(regular)', 'diario(regular)']""]",san marcos
