establecimiento_canon,direccion_norm,municipio,departamento,codigo,distrito,sector,area,supervisor,director,telefono_norm,modalidad,jornada,plan,departamental
bautista shalom,35 av 00-39 carretera al atlantico,zona 18,Guatemala,['00-18-0234-46'],01-106,privado,urbana,cesar arnoldo martinez garcia,sandra yojana estrada garcía,['25053501'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],guatemala norte
bautista shalom,35 av. 00-39 carretera al atlantico,zona 18,Guatemala,"[""['00-18-0062-46', '00-18-0065-46']""]","['01-106', '01-106']","['privado', 'privado']","['urbana', 'urbana']","['cesar arnoldo martinez garcia', 'cesar arnoldo martinez garcia']","['sandra yojana estrada garcía', 'sandra yojana estrada garcía']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'doble']""]","[""['diario(regular)', 'fin de semana']""]",guatemala norte
bautista shalom,km. 9.5 carretera al atlantico,zona 18,Guatemala,['00-18-8635-46'],01-106,privado,urbana,cesar arnoldo martinez garcia,nidia janeth crúz lópez,['25053535'],['monolingue'],['matutina'],['diario(regular)'],guatemala norte
belen,plazuela belen,antigua guatemala,Sacatepequez,['03-01-0120-46'],03-002,privado,urbana,zoila esthela jonfe orozco,maría del carmen gómez,['78320322'],['monolingue'],['matutina'],['diario(regular)'],sacatepéquez
belga guatemalteco,9a calle 10-38,zona 1,Guatemala,['00-01-0226-46'],01-317,privado,urbana,mariano domingo estrada teletor,maría teresa rivera castillo,['23148300'],['monolingue'],['matutina'],['diario(regular)'],guatemala norte
bello amanecer 2,lote 101 y 102 seccion c colonia las ilusiones,zona 18,Guatemala,"[""['00-18-0211-46', '00-18-0212-46', '00-18-0251-46', '00-18-0257-46']""]","['01-110', '01-110', '01-110', '01-110']","['privado', 'privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana', 'urbana']","['zuhilem yesenia estrada ortiz', 'zuhilem yesenia estrada ortiz', 'zuhilem yesenia estrada ortiz', 'zuhilem yesenia estrada ortiz']","['ada marleny guerra', 'ada marleny guerra', 'ada marleny guerra', 'ada marleny guerra']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['matutina', 'vespertina', 'matutina', 'matutina']""]","[""['diario(regular)', 'diario(regular)', 'fin de semana', 'diario(regular)']""]",guatemala norte
benedictino de guatemala,1a. av 5-77 z 2 aldea boca del monte,villa canales,Guatemala,['01-16-8814-46'],01-510,privado,rural,zoila esperanza camey atz,elfego uriel arreaga pérez,['24428480'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
bethania,3a calle 23-41 vista hermosa i,zona 15,Guatemala,['00-15-0983-46'],01-314,privado,urbana,plinio ivan hernandez,sor milvian caridad molina de paz,['23691872'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
bethel,aldea jicaro grande,jutiapa,Jutiapa,['22-01-0436-46'],22-003,privado,rural,remberto recinos sarceño,deysi sindy florián cardona,['41607922'],['monolingue'],['doble'],['fin de semana'],jutiapa
bethel,ruta 23 aldea jicaro grande,jutiapa,Jutiapa,['22-01-0394-46'],22-003,privado,rural,remberto recinos sarceño,deysi sindy florián cardona,['41607922'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],jutiapa
bilingue abc,21 av entre 17-18 calle,puerto barrios,Izabal,['18-01-0369-46'],18-008,privado,urbana,elena elizabeth suchite garnica de quintanilla,dora leticia cardona de la cruz,['79429590'],['monolingue'],['doble'],['diario(regular)'],izabal
bilingue advance,5ta. calle 5-81 z 2,san marcos,San Marcos,['12-01-0169-46'],12-063,privado,urbana,heliuv edilzar vasquez navarro,yesenia azucena gómez romero,['77602870'],['monolingue'],['matutina'],['diario(regular)'],san marcos
bilingue americano,4ta. av b 2-82 z 1,retalhuleu,Retalhuleu,['11-01-0538-46'],11-004,privado,urbana,miguel angel armas rocha,melissa maría gabriela hernández gómez,['77663171'],['monolingue'],['matutina'],['diario(regular)'],retalhuleu
bilingue americano,km. 1.2 carretera a san francisco zapotitlan,mazatenango,Suchitepequez,"[""['10-01-0186-46', '10-01-0322-46']""]","['10-018', '10-018']","['privado', 'privado']","['urbana', 'urbana']","['natali xiomara diaz barrios de figueroa', 'natali xiomara diaz barrios de figueroa']","['maría esther méndez arriola', 'maría esther méndez arriola']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'doble']""]","[""['diario(regular)', 'diario(regular)']""]",suchitepéquez
bilingue bethel,lote 25 manzana j residenciales el quetzal,san juan sacatepequez,Guatemala,['01-10-0244-46'],01-647,privado,urbana,vinicio arnoldo najera cardona,joessellene haydeé muñoz mayen,['55588185'],['monolingue'],['vespertina'],['diario(regular)'],guatemala occidente
bilingue betluz,7a. calle 11-233 z 6,coban,Alta Verapaz,['16-01-1009-46'],16-031,privado,urbana,patricio najarro asencio,celeste leticia yat macz,['45379823'],['monolingue'],['matutina'],['diario(regular)'],alta verapaz
bilingue campo real,8a. calle 12-44 granjas de san cristobal z 8,mixco,Guatemala,['01-08-2974-46'],01-609,privado,urbana,silvia hortensia gonzalez martinez,hena judith gonzález calderón,['57710021'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
bilingue campo verde,3a. av 2-15 aldea choacorral z 4,san lucas sacatepequez,Sacatepequez,['03-08-0036-46'],03-005,privado,rural,rosalbina sisimit peren de socop,claudia maría calderón caceres,['77218461'],['monolingue'],['matutina'],['diario(regular)'],sacatepéquez
bilingue con computacion del prado,2a av 1-99 z 2 colonia del ferrocarrilero,escuintla,Escuintla,['05-01-0405-46'],05-033,privado,urbana,remy arturo sinay gudiel,alicia odeth díaz tejada,['78892172'],['monolingue'],['matutina'],['diario(regular)'],escuintla
bilingue corban,9a. calle 13-09 barrio hospital,amatitlan,Guatemala,"[""['01-14-0133-46', '01-14-0204-46', '01-14-0206-46']""]","['01-201', '01-201', '01-641']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['gladys jhoana salguero carballo', 'gladys jhoana salguero carballo', 'milton alonso alvarez fuentes']","['mirtala ileana aceituno barrera', 'mirtala ileana aceituno barrera', 'mirtala ileana aceituno barrera']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'matutina', 'sin jornada']""]","[""['diario(regular)', 'diario(regular)', 'semipresencial (fin de semana)']""]",guatemala sur
bilingue cristiano el arbol del conocimiento,32 av. d 45-25 colonia granizo ii z 7,zona 7,Guatemala,['00-07-0200-46'],01-639,privado,urbana,ludvin ricardo urrutia lorenti,xeni sarahí paz montezuma,['42035921'],['monolingue'],['doble'],['semipresencial'],guatemala occidente
bilingue cristiano el arbol del conocimiento,32 av. d 45-25 los granizos ii z 7,zona 7,Guatemala,['00-07-0201-46'],01-639,privado,urbana,ludvin ricardo urrutia lorenti,xeni sarahí paz montezuma,['42035921'],['monolingue'],['doble'],['semipresencial'],guatemala occidente
bilingue de computacion c b c,38 av 4-55 colonia la floresta,zona 7,Guatemala,['00-07-9263-46'],01-623,privado,urbana,federico estuardo irungaray samayoa,delia ramírez farfán,['24312167'],['monolingue'],['vespertina'],['fin de semana'],guatemala occidente
bilingue de computacion cbc el carmen,31 calle 0-52 colonia el carmen,zona 12,Guatemala,['00-12-9003-46'],01-211,privado,urbana,adriana fabiola bolaños estrada,glennda ivonne escobar morales,['24762418'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
bilingue de computacion cbc el carmen,31 calle 00-52 colonia el carmen,zona 12,Guatemala,"[""['00-12-0141-46', '00-12-9004-46', '00-12-9006-46']""]","['01-641', '01-211', '01-641']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['milton alonso alvarez fuentes', 'adriana fabiola bolaños estrada', 'milton alonso alvarez fuentes']","['glennda ivonne escobar morales', 'glennda ivonne escobar morales', 'glennda ivonne escobar morales']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['sin jornada', 'vespertina', 'doble']""]","[""['semipresencial (fin de semana)', 'diario(regular)', 'fin de semana']""]",guatemala sur
bilingue de computacion pachalum de los santos cbcps,venida los lirios z 3 lugar denominado potrero viejo,pachalun,Quiche,['14-21-0032-46'],14-035,privado,urbana,erik israel giron juarez,cristian fernando valdéz soto,['42591034'],['monolingue'],['vespertina'],['diario(regular)'],quiché
bilingue de infantes,3a. calle 7-07 z 3,coban,Alta Verapaz,['16-01-9544-46'],16-031,privado,urbana,patricio najarro asencio,nancy johana hengstenberg delgado,['33836377'],['monolingue'],['matutina'],['diario(regular)'],alta verapaz
bilingue educate,kilometro 13 calzada roosevelt 10-86 z 2,mixco,Guatemala,['01-08-0561-46'],01-603,privado,urbana,rosa albelia ardon de motta,dora patricia barahona betancourth,['22503553'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
bilingue el bosque,5a. av. 1-39 z 2 barrio san francisco,jalapa,Jalapa,['21-01-0423-46'],21-004,privado,urbana,victor manuel portillo recinos,walter eliú lópez oscal,['58127940'],['monolingue'],['vespertina'],['diario(regular)'],jalapa
bilingue el castano,0 av b 1-45 z 4 colonia monserrat i,mixco,Guatemala,['01-08-0643-46'],01-604,privado,urbana,emora emperatriz cruz de fuentes,virginia yomara gonzalez calderón,['24333399'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
bilingue en computacion san bernabe,kilometro 63 carretera a san pedro yepocapa aldea san bernabe,parramos,Chimaltenango,['04-14-0023-46'],04-025,privado,urbana,surama lisseth ramírez lópez,raúl arnulfo cuá tumín,['30857742'],['monolingue'],['vespertina'],['diario(regular)'],chimaltenango
bilingue especializado en computacion kairos,5a. av 7-30 colonia la florida z 19,zona 19,Guatemala,['00-19-0035-46'],01-620,privado,urbana,ronald mauricio morales vivar,mirna dinorah lópez nájera,['59394356'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
bilingue especializado en computacion yulimaypc,12 calle 4-17,zona 1,Guatemala,"[""['00-01-0789-46', '00-01-8030-46', '00-01-8033-46']""]","['01-403', '01-301', '01-403']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['carlos humberto gonzález de león', 'lucrecia marisol cermeño gonzález', 'carlos humberto gonzález de león']","['obduver ubaldo domingo castañón', 'obduver ubaldo domingo castañón', 'obduver ubaldo domingo castañón']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['sin jornada', 'matutina', 'doble']""]","[""['semipresencial (fin de semana)', 'diario(regular)', 'fin de semana']""]",guatemala norte
bilingue fray amadeo ruano najarro,2a. av 2-88 z 1,el progreso,Jutiapa,['22-02-0016-46'],22-037,privado,urbana,sandra ninneth bonilla archila,melanie rocio ruano españa,['78435491'],['monolingue'],['matutina'],['diario(regular)'],jutiapa
bilingue high learning,6ta. av 4-80 barrio el manglar,san jose,Escuintla,['05-09-0072-46'],05-015,privado,urbana,telma enriqueta grajeda martinez,evelin amabely rodríguez lópez,['78811786'],['monolingue'],['doble'],['fin de semana'],escuintla
bilingue holandes,8a. av c 5-05 z 11,mixco,Guatemala,['01-08-0109-46'],01-606,privado,urbana,ronald mauricio morales vivar,victoria eugenia calderon acosta,['22280987'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
bilingue integral ciencia arte y nacionalismo ican,0 av 4-78 z 1,san juan comalapa,Chimaltenango,"[""['04-04-0045-46', '04-04-0061-46', '04-04-0079-46']""]","['04-023', '04-023', '04-023']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['edgar leonel simon icu', 'edgar leonel simon icu', 'edgar leonel simon icu']","['gilmer neftali cux sarech', 'lidia natividad tuyuc bal', 'lidia natividad tuyuc bal']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['doble', 'vespertina', 'matutina']""]","[""['fin de semana', 'diario(regular)', 'diario(regular)']""]",chimaltenango
bilingue integral tecnoamericano,canton vista hermosa,san pedro sacatepequez,San Marcos,"[""['12-02-0211-46', '12-02-0212-46']""]","['12-006', '12-006']","['privado', 'privado']","['rural', 'rural']","['luis alfredo mazariegos scot', 'luis alfredo mazariegos scot']","['rodelbí jonatán godínez navarro', 'rodelbí jonatán godínez navarro']",[],"[""['monolingue', 'monolingue']""]","[""['vespertina', 'doble']""]","[""['diario(regular)', 'diario(regular)']""]",san marcos
bilingue integridad integrity,aldea don justo kilometro 16.5 carretera a san jose pinula caserio la laguneta,santa catarina pinula,Guatemala,['01-02-0034-46'],01-644,privado,urbana,ligia del rosario ricci velasquez,maría verónica auyón ocampo,['66371400'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
bilingue integridad integrity,aldea don justo km.17 carretera a san jose pinula lote 3 a z 7 guatemala,santa catarina pinula,Guatemala,['01-02-0078-46'],01-502,privado,urbana,julia enecon roca moran,maria veronica auyón ocampo de galicia,['66371400'],['monolingue'],['doble'],['semipresencial'],guatemala oriente
bilingue integridad integrity,km.16.5 carretera a san jose pinula caserio la laguneta aldea don justo santa catarina pinula. guatemala,san jose pinula,Guatemala,"[""['01-03-0124-46', '01-03-0125-46', '01-03-0127-46', '01-03-0128-46']""]","['01-502', '01-405', '01-502', '01-502']","['privado', 'privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana', 'urbana']","['julia enecon roca moran', 'blanca sarai gutierrez pineda', 'julia enecon roca moran', 'julia enecon roca moran']","['maria verónica auyon ocampo de galicia', 'maría verónica auyón ocampo', 'maria veronica auyon ocampo de galicia', 'maria veronica auyon ocampo de galicia']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['doble', 'doble', 'doble', 'doble']""]","[""['a distancia', 'a distancia', 'diario(regular)', 'semipresencial']""]",guatemala oriente
bilingue internacional manos a la obra,4a. calle 6-22 sector los manzanillos z 3,villa canales,Guatemala,['01-16-0118-46'],01-508,privado,rural,manuel maria cano castro,nilsa carolina hernández molina,['66328839'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
bilingue jardin americano,3a calle sector b lote 21 colonia jacarandas 1 z 3,escuintla,Escuintla,['05-01-0308-46'],05-033,privado,urbana,remy arturo sinay gudiel,claudia argentina jiménez prado,['78898449'],['monolingue'],['matutina'],['diario(regular)'],escuintla
bilingue jardin americano,3a. calle sector b lote 21 colonia jacarandas 1 z 3,escuintla,Escuintla,['05-01-0459-46'],05-033,privado,urbana,remy arturo sinay gudiel,claudia argentina jiménez prado,['78898449'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],escuintla
bilingue jet,finca enon aldea santo domingo,el tejar,Chimaltenango,"[""['04-16-0037-46', '04-16-0038-46']""]","['04-024', '04-024']","['privado', 'privado']","['rural', 'rural']","['luis fernando méndez gudiel', 'luis fernando méndez gudiel']","['deidra ann taylor', 'deidra ann taylor']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'doble']""]","[""['diario(regular)', 'diario(regular)']""]",chimaltenango
bilingue juan pablo segundo,6ta. calle 15-153 z 4,san marcos,San Marcos,"[""['12-01-0158-46', '12-01-0159-46']""]","['12-063', '12-063']","['privado', 'privado']","['urbana', 'urbana']","['heliuv edilzar vasquez navarro', 'heliuv edilzar vasquez navarro']","['patricia elizabeth roldan orozco', 'patricia elizabeth roldan orozco']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'matutina']""]","[""['diario(regular)', 'diario(regular)']""]",san marcos
bilingue k iyb al,lotes 1 y 2 colonias las ninfas,amatitlan,Guatemala,['01-14-0066-46'],01-202,privado,urbana,elsa patricia de leon mejia,jorge antulio palacios lópez,['66334631'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
bilingue la puerta,6a av 2-34,zona 1,Guatemala,['00-01-8323-46'],01-318,privado,urbana,leslie azucena monzon tecun,maria griselda cabrera castillo,['22515451'],['monolingue'],['matutina'],['diario(regular)'],guatemala norte
bilingue los andes,6a. calle a 28-75 z 4 colonia el naranjo z 4 mixco,mixco,Guatemala,['01-08-8378-46'],01-604,privado,urbana,emora emperatriz cruz de fuentes,emma marisol herrera alvarado,['22178787'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
bilingue los angeles,1a. av 3-56 z 2,zaragoza,Chimaltenango,['04-15-0014-46'],04-008,privado,urbana,corina argelia rodas serrano,dorcas francisca lópez meléndez,['56921944'],['monolingue'],['matutina'],['diario(regular)'],chimaltenango
bilingue los angeles,1era. av 3-56 z 2,zaragoza,Chimaltenango,['04-15-0044-46'],04-008,privado,urbana,corina argelia rodas serrano,dorcas francisca lópez meléndez,['56921944'],['monolingue'],['doble'],['diario(regular)'],chimaltenango
bilingue lourdes,1a. calle 9-21 colonia lourdes,zona 16,Guatemala,['00-16-7197-46'],01-509,privado,urbana,nancy carolina navas gonzález,luisa fernanda alvarado arriaga,['59379834'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
